author, day, timestamp, id, title
Clix_TW,Thu, 01 Jul 2010 18:16:28 +0000,2298265,GeorgeCOMMA you've abused us way too long. We're out of here! #TinyDeclaration
madisoncheap,Thu, 01 Jul 2010 18:11:02 +0000,47586505,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
brianshane_wct,Thu, 01 Jul 2010 18:04:44 +0000,124056522,GeorgeCOMMA we just don't see this working out. It's been bad awhile now. In factCOMMA you're kind of a bullyCOMMA and we're leaving. #TinyDeclaration
wfyi,Thu, 01 Jul 2010 18:03:29 +0000,2520886,Just 4 fun! RT @smv1827 @Slate: Reduce the Declaration of Independence to a single tweet... http://slate.me/cs6Fry #TinyDeclaration
Ellsbeth,Thu, 01 Jul 2010 17:53:29 +0000,3795355,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
aFatGiant,Thu, 01 Jul 2010 17:43:15 +0000,17283168,RT @mcpb: All ppl r cre8d =. Nature's law declares man's law illegal. We slough off vestigial regal tyrant w pride dyed in sheepwool. #TinyDeclaration
smv1827,Thu, 01 Jul 2010 17:31:27 +0000,18735758,RT @amelieanomaly: Dear George; it's not youCOMMA it's us. We just need some space. And a representative legislature. LoveCOMMA the Colonies #tinydeclaration
smv1827,Thu, 01 Jul 2010 17:30:53 +0000,18735758,rt @Slate Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
bhdonovan,Thu, 01 Jul 2010 16:57:29 +0000,1382866,Kings must go away!/We shall live as free people/tyrants rule no more. #tinydeclaration
jbecker,Thu, 01 Jul 2010 16:51:54 +0000,355018,Endowed w unalienable Rights- lifeCOMMAlibertyCOMMAproperty. Govt power from consent of governed. we R free &amp; independent -1776 #TinyDeclaration
mallorylong,Thu, 01 Jul 2010 16:31:41 +0000,5483581,RT @slate: Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
mikaydee,Thu, 01 Jul 2010 16:29:56 +0000,15358912,#TinyDeclaration When King droolzCOMMA consent of the governed roolz. Peace outCOMMA Brits!
Lisaloohoo,Thu, 01 Jul 2010 16:29:35 +0000,6044355,&quot;It's ours Now.Please Leave.&quot; The apotheosis of Twitter:Declaration of Independence in 140 characters. http://bit.ly/cTWrUD #TinyDeclaration
cbus_thoughts,Thu, 01 Jul 2010 16:27:10 +0000,79744841,RT @slate: Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
bgfarra,Thu, 01 Jul 2010 16:19:36 +0000,4916691,Reading: &quot;#TinyDeclaration: A Slate Twitter contest for the Fourth of July. - - Slate Magazine&quot; ( http://bit.ly/cW9bYa )
SioConnellan,Thu, 01 Jul 2010 16:11:39 +0000,1032997,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
rwiz01,Thu, 01 Jul 2010 16:05:24 +0000,100089675,It's not you - noCOMMA wait - it IS you. We're tired of your crap. We don't need you. Grow up. We did! #TinyDeclaration
AskDebbieCarol,Thu, 01 Jul 2010 16:01:48 +0000,21060432,Dear GeorgeCOMMA The sisters &amp; I are Tired of supporting your crazy fat a$$. Go ask India give you money 4 nothing Sincely USA #TinyDeclaration
archivesnews,Thu, 01 Jul 2010 15:45:21 +0000,70622207,#TinyDeclaration folks: Check out the original Declaration of Independence at the National Archives in WashingtonCOMMA DC.
CyclinArchivist,Thu, 01 Jul 2010 15:43:49 +0000,25647938,RT @archivesnews: The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
archivesnews,Thu, 01 Jul 2010 15:41:43 +0000,70622207,The Declaration of Independence condensed into one tweet? Check out all the entries in this patriotic contest by searching #TinyDeclaration
ShannonRenee,Thu, 01 Jul 2010 15:38:40 +0000,72973,Dear EnglandCOMMA you've been a bad guest and we'd appreciate you're leaving the party and not coming back...EVER #tinydeclaration
SiriusHat,Thu, 01 Jul 2010 15:18:27 +0000,69598842,Freedom: it's (bleeping) golden. ##tinydeclaration
vijtable,Thu, 01 Jul 2010 15:13:06 +0000,128342006,#tinydeclaration @jadams @lightningguy @generalgw @prezhancock +&quot;CU later GB!&quot; RT @MABeerMan Don't tread on me. Can't tax our tea! #GBFail
dccurmudgeon,Thu, 01 Jul 2010 14:58:28 +0000,16292549,@BritishMonarchy We did our partCOMMA but you wouldn't listen. So we're outta here. It's our God-given right. #tinydeclaration
vijtable,Thu, 01 Jul 2010 14:52:47 +0000,128342006,#tinydeclaration @jadams @lightningguy Obvi truth: all ppl =. RT @tompaine Tax -&gt; rep. Govt 4 ppl by ppl. Rule of law. LifeCOMMA lbrtyCOMMA prprty.
samalliance,Thu, 01 Jul 2010 14:37:50 +0000,76581581,@Slate is running an interesting #TinyDeclaration contest: http://is.gd/dbp6f
cspettite,Thu, 01 Jul 2010 14:34:58 +0000,100815464,Tweet the Declaration http://shar.es/mOCQm  My #tinydeclaration tweet is quoted here. Thanks Enterprise Blog!
mindlessfunk,Thu, 01 Jul 2010 13:39:31 +0000,8561902,Dear GeorgeCOMMA it's not you it's me. We've had funCOMMA but I can't pretend it's still working when it's not. It's over. &lt;3 USA #TinyDeclaration
athenagjones,Thu, 01 Jul 2010 13:36:40 +0000,29515864,Dear G.B.COMMA I'm leaving u 4 Free Republic. No more abuse! &amp; men (if rich &amp; white) are equal. Women/non-whites need not apply #TinyDeclaration
athenagjones,Thu, 01 Jul 2010 13:22:10 +0000,29515864,RT @bdeak17 all white wealthy property owners are created equal #TinyDeclaration
athenagjones,Thu, 01 Jul 2010 13:20:01 +0000,29515864,RT @bdeak17 We both knew where this long distance relationship was going. We're difft pple nowCOMMA we want to try new things #TinyDeclaration
kendg8r,Thu, 01 Jul 2010 12:48:32 +0000,12833669,#TinyDeclaration GeorgeCOMMA we're tired of your micromanagement &amp; imposing taxes w/o input.  PlusCOMMA we know we can do gov better than you.  Bye!
student,Thu, 01 Jul 2010 12:28:32 +0000,781272,You're on notice Britain. ObviouslyCOMMA we have rightsCOMMA and you violated them. Ad nauseam. So we're on our own now. Goodbye. #TinyDeclaration
TJMonticello,Thu, 01 Jul 2010 11:35:09 +0000,5463393,Both previous tweets also from our FB fans for #TinyDeclaration: http://bit.ly/cTWrUD
wrekehavoc,Thu, 01 Jul 2010 10:57:03 +0000,142678,We left this England place 'cos it was bogus; so if we don't get some cool rules ourselves pronto we'll just be bogus too! #TinyDeclaration
jspoke1,Thu, 01 Jul 2010 10:52:10 +0000,115600150,KGCOMMA taxesCOMMA soldiers in our homesCOMMA forcing us to fight your wars. Don\u2019t tell us to ctfd! You're a player. We outta here. #TinyDeclaration
LDOregon,Thu, 01 Jul 2010 10:19:17 +0000,129882986,\u201cOnly one honest man wrote LifeCOMMA Liberty and the Pursuit of HappinessCOMMA The Rights of Man and Common Sense Thomas Paine\u201d #TinyDeclaration
JeffEuston,Thu, 01 Jul 2010 07:37:43 +0000,121903016,We hold these Truths self-evident. All are equal w/ right of lifeCOMMA liberty. These united States are now free. Th Jefferson. #TinyDeclaration
jazzRodeo,Thu, 01 Jul 2010 06:58:59 +0000,31539008,I amCOMMA so I'm free to be. We're just in making it so. #TinyDeclaration
heynonnymouse,Thu, 01 Jul 2010 06:14:18 +0000,13667476,King&amp;parliamentCOMMA your acts are intolerable. Attempts to negotiate equal treatment as British citizens have failed. Goodbye. #tinydeclaration
rbranford,Thu, 01 Jul 2010 05:37:07 +0000,32755918,RT @amelieanomaly: Dear George; it's not youCOMMA it's us. We just need some space. And a representative legislature. LoveCOMMA the Colonies #tinydeclaration
patrickbotts,Thu, 01 Jul 2010 05:20:48 +0000,10223803,#TinyDeclaration I think it's time we see other peopleCOMMA you crazy bitch.
tonyjwinter,Thu, 01 Jul 2010 05:17:47 +0000,129837676,#TinyDeclaration My lifeCOMMA my goalsCOMMA my dreamsCOMMA my friendsCOMMA my beliefsCOMMA my mistakesCOMMA my successesCOMMA my independence - our freedom.\u00a0
jbeaman,Thu, 01 Jul 2010 05:01:20 +0000,319965,RT @amelieanomaly: Dear George; it's not youCOMMA it's us. We just need some space. And a representative legislature. LoveCOMMA the Colonies #tinydeclaration
logitimate,Thu, 01 Jul 2010 04:59:55 +0000,11881127,Leaving Britain. All are born equalCOMMA and gov''ts must protect their freedom; George III abuses oursCOMMA esp. when we complain. #TinyDeclaration
Just_Ask_Ellen,Thu, 01 Jul 2010 04:49:23 +0000,92177596,#TinyDeclaration: A Slate Twitter contest for the Fourth of July ... http://bit.ly/bMr41p
dentay85,Thu, 01 Jul 2010 04:32:30 +0000,113694432,#TinyDeclaration: A Slate Twitter contest for the Fourth of July ...: politics. : Who's winningCOMMA who's losingCOMMA and... http://bit.ly/c7WG8P
taureanb,Thu, 01 Jul 2010 04:29:37 +0000,1128042,RT @bdeak17: all white wealthy property owners are created equal #TinyDeclaration
FrugalLeigh,Thu, 01 Jul 2010 04:20:07 +0000,128556896,Dear George: We're mad as hellCOMMA and we're not gonna take it anymore. TrulyCOMMA the 13 colonies #TinyDeclaration
FrugalLeigh,Thu, 01 Jul 2010 04:18:20 +0000,128556896,Dear George (and &quot;Brittish&quot; brethren): Sod off. Ours trulyCOMMA the 13 colonies\n#TinyDeclaration
FrugalLeigh,Thu, 01 Jul 2010 04:16:59 +0000,128556896,Geo: We're right. We're free. We'll fight. You'll see. We're not gonna take it anymore! Hevy hugsCOMMA Twistd States of America #TinyDeclaration
segelke43,Thu, 01 Jul 2010 04:06:01 +0000,3490803,Best one... RT @ApocalypseHow Bye GeorgeCOMMA we've got it. #TinyDeclaration (h/t @SiriusHat)
geezergranddad,Thu, 01 Jul 2010 04:04:25 +0000,6174008,#tinydeclaration In the course of human events we declare our freedom from brit tyranny.
SiriusHat,Thu, 01 Jul 2010 04:03:41 +0000,69598842,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
hollyloo,Thu, 01 Jul 2010 04:01:59 +0000,18616470,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
santacruzchick,Thu, 01 Jul 2010 03:59:24 +0000,5299217,We ARE &quot;the people&quot;. There is no &quot;they&quot;. #TinyDeclaration
bdeak17,Thu, 01 Jul 2010 03:55:48 +0000,129818892,We both knew where this long distance relationship was going. Face itCOMMA we are different pple nowCOMMA we want to try new things #TinyDeclaration
youngck,Thu, 01 Jul 2010 03:49:37 +0000,2371380,#tinydeclaration kg3COMMA we be freeCOMMA luv JohnH. July IV MDCCLXXVI
bdeak17,Thu, 01 Jul 2010 03:44:57 +0000,129818892,all white wealthy property owners are created equal #TinyDeclaration
amelieanomaly,Thu, 01 Jul 2010 03:44:15 +0000,112603891,RT @ArUrbEx: #TinyDeclaration @KingGeorge3 DefriendingCOMMA defollowingCOMMA tired of taxes and no repping.  kthxbai
youngck,Thu, 01 Jul 2010 03:42:49 +0000,2371380,RT @merubin: We are free because we are human. #TinyDeclaration
ArUrbEx,Thu, 01 Jul 2010 03:32:40 +0000,87076,#TinyDeclaration @KingGeorge3 DefriendingCOMMA defollowingCOMMA tired of taxes and no repping.  kthxbai
stereoradiation,Thu, 01 Jul 2010 03:31:47 +0000,80916,Rights. Equality. Self-evident? Not to @KingGeorge3. We got our own shit now. God's got our back. #TinyDeclaration
taureanb,Thu, 01 Jul 2010 03:31:06 +0000,1128042,@kinggeorge3 taxation w/o representation? WTF? we are no longer BFFs! #tinydeclaration
RennaW,Thu, 01 Jul 2010 03:28:31 +0000,20057166,It's only Common Sense That if a government won't give u ur basic rightsCOMMA U'd better get another government. #TinyDeclaration #SkoolHousRock
sdpdx,Thu, 01 Jul 2010 03:26:38 +0000,6157625,RT @davidkomatar: @kinggeorge3.  lifeCOMMA liberty and the unalienable right to drive on the right side of the road.  #TinyDeclaration
jason_nifong,Thu, 01 Jul 2010 03:22:44 +0000,550703,Hey @kinggeorge3 :tyranny &amp; taxationFTL&gt;crumpetpacking redcoats rvolutn much? @J-HanCOMMA @frankenb3nnyCOMMA @conti_cngrz&gt;pwnzju #tinydeclaration TJ
danastabenow,Thu, 01 Jul 2010 03:20:49 +0000,1046007,RT @amelieanomaly: Dear George; it's not youCOMMA it's us. We just need some space. And a representative legislature. LoveCOMMA the Colonies #tinydeclaration
